20	4
101.1579	19.5789  	118.2632   	38.0000
124.8421  	316.9474  	163.0000  	332.7368
152.4737  	316.9474  	186.6842  	332.7368
119.5789  	303.7895  	153.7895  	320.8947
232.7368   	55.1053  	244.5789  	70.8947
63.0000  	413.0000  	160.3684 	432.7368
9.0526  	424.8421  	111.6842 	443.2632
5.1053  	194.5789   	27.4737  	213.0000
14.3158   	52.4737   	31.4211   	72.2105
59.0526  	288.0000   	89.3158 	306.4211
105.1053  	306.4211  	136.6842 	323.5263
115.6316  	322.2105  	149.8421 	338.0000
169.5789  	303.7895  	202.4737  	319.5789
228.7895   	86.6842  	243.2632   	99.8421
231.4211  	152.4737  	245.8947  	166.9474
163.0000  	139.3158  	182.7368  	153.7895
186.6842  	223.5263  	206.4211  	238.0000
182.7368  	376.1579  	260.3684  	389.3158
95.8947  	172.2105  	119.5789  	190.6316
97.2105   	93.2632  	116.9474  	110.3684


 
